20801	Cristiano Ronaldo	Portugal
158023	L. Messi	Argentina
190871	Neymar	Brazil
176580	L. Suárez	Uruguay
167495	M. Neuer	Germany
188545	R. Lewandowski	Poland
193080	De Gea	Spain
183277	E. Hazard	Belgium
182521	T. Kroos	Germany
167664	G. Higuaín	Argentina
155862	Sergio Ramos	Spain
192985	K. De Bruyne	Belgium
192119	T. Courtois	Belgium
184941	A. Sánchez	Chile
177003	L. Modrić	Croatia
173731	G. Bale	Wales
153079	S. Agüero	Argentina
138956	G. Chiellini	Italy
1179	G. Buffon	Italy
211110	P. Dybala	Argentina
200389	J. Oblak	Slovenia
194765	A. Griezmann	France
189509	Thiago	Spain
188567	P. Aubameyang	Gabon
184344	L. Bonucci	Italy
183907	J. Boateng	Germany
182493	D. Godín	Uruguay
178603	M. Hummels	Germany
176635	M. Özil	Germany
167948	H. Lloris	France
164240	Thiago Silva	Brazil
41236	Z. Ibrahimović	Sweden
9014	A. Robben	Netherlands
215914	N. Kanté	France
199556	M. Verratti	Italy
195864	P. Pogba	France
190460	C. Eriksen	Denmark
181872	A. Vidal	Chile
179813	E. Cavani	Uruguay
176676	Marcelo	Brazil
171877	M. Hamšík	Slovakia
168651	I. Rakitić	Croatia
168542	David Silva	Spain
162835	S. Handanovič	Slovenia
152729	Piqué	Spain
41	Iniesta	Spain
202126	H. Kane	England
198710	J. Rodríguez	Colombia
197781	Isco	Spain
197445	D. Alaba	Austria
192505	R. Lukaku	Belgium
191043	Alex Sandro	Brazil
189596	T. Müller	Germany
189511	Sergio Busquets	Spain
189242	Coutinho	Brazil
188350	M. Reus	Germany
184087	T. Alderweireld	Belgium
179944	David Luiz	Brazil
179844	Diego Costa	Spain
178518	R. Nainggolan	Belgium
177610	Javi Martínez	Spain
175943	D. Mertens	Belgium
172879	Sokratis	Greece
168609	Miranda	Brazil
165153	K. Benzema	France
162895	Cesc Fàbregas	Spain
156616	F. Ribéry	France
120533	Pepe	Portugal
48940	P. Čech	Czech Republic
208418	Y. Carrasco	Belgium
201535	R. Varane	France
200145	Casemiro	Brazil
198219	L. Insigne	Italy
193301	A. Lacazette	France
193041	K. Navas	Costa Rica
192883	H. Mkhitaryan	Armenia
192593	D. Subašić	Croatia
192563	B. Leno	Germany
192448	M. ter Stegen	Germany
190547	K. Glik	Poland
189332	Jordi Alba	Spain
186942	I. Gündoğan	Germany
184432	Azpilicueta	Spain
183898	A. Di María	Argentina
180206	M. Pjanić	Bosnia Herzegovina
173210	C. Marchisio	Italy
172871	J. Vertonghen	Belgium
170890	B. Matuidi	France
167628	S. Ruffier	France
164169	Filipe Luís	Brazil
139720	V. Kompany	Belgium
137186	A. Barzagli	Italy
225508	E. Bailly	Ivory Coast
220834	Marco Asensio	Spain
218667	Bernardo Silva	Portugal
212218	A. Laporte	France
211117	D. Alli	England
208722	S. Mané	Senegal
204963	Carvajal	Spain
202166	J. Draxler	Germany
201399	M. Icardi	Argentina
201153	Morata	Spain
201024	K. Koulibaly	Senegal
200316	T. Horn	Germany
193747	Koke	Spain
192774	K. Manolas	Greece
192227	S. Mustafi	Germany
191740	Ander Herrera	Spain
189712	K. Strootman	Netherlands
189505	Pedro	Spain
189117	R. Bürki	Switzerland
184120	Bruno	Spain
181458	I. Perišić	Croatia
180930	E. Džeko	Bosnia Herzegovina
180403	Willian	Brazil
179846	S. Khedira	Germany
179783	R. Fährmann	Germany
178750	Sergio Asenjo	Spain
178088	Juan Mata	Spain
177509	M. Benatia	Morocco
177388	D. Payet	France
167397	Falcao	Colombia
165229	L. Koscielny	France
164468	G. Cahill	England
146530	Dani Alves	Brazil
143076	A. Gómez	Argentina
106231	Aduriz	Spain
231747	K. Mbappé	France
231443	O. Dembélé	France
220971	N. Keïta	Guinea
216460	J. Giménez	Uruguay
215316	G. Rulli	Argentina
213565	T. Lemar	France
212814	João Mário	Portugal
212190	N. Süle	Germany
210257	Ederson	Brazil
209499	Fabinho	Brazil
209331	M. Salah	Egypt
208596	A. Belotti	Italy
208448	E. Forsberg	Sweden
207865	Marquinhos	Brazil
207566	William Carvalho	Portugal
205600	S. Umtiti	France
204485	R. Mahrez	Algeria
203376	V. van Dijk	Netherlands
201942	Roberto Firmino	Brazil
200888	Danilo Pereira	Portugal
199715	Vitolo	Spain
199482	A. Lopes	Portugal
198176	S. de Vrij	Netherlands
198009	M. Perin	Italy
197061	J. Matip	Cameroon
193474	I. Gueye	Senegal
192629	Iago Aspas	Spain
192366	N. Otamendi	Argentina
191202	N. Matić	Serbia
191180	J. Pastore	Argentina
189513	Parejo	Spain
189358	S. Kagawa	Japan
189125	G. Bonaventura	Italy
189068	B. Dost	Netherlands
188377	K. Walker	England
188152	Oscar	Brazil
187936	S. N'Zonzi	France
186547	M. Musacchio	Argentina
185239	O. Toprak	Turkey
185020	José Callejón	Spain
184826	Adrien Silva	Portugal
184431	S. Giovinco	Italy
184144	N. Gaitán	Argentina
181783	M. Mandžukić	Croatia
180819	A. Lallana	England
179784	B. Höwedes	Germany
178562	E. Banega	Argentina
178005	Rui Patrício	Portugal
177683	Y. Sommer	Switzerland
177358	M. Schneiderlin	France
176769	Jonas	Brazil
176600	K. Gameiro	France
173771	L. Piszczek	Poland
170481	E. Garay	Argentina
167905	A. Valencia	Ecuador
163587	K. Schmeichel	Denmark
162240	M. Dembélé	Belgium
161956	Borja Valero	Spain
159147	L. Perrin	France
158963	L. Biglia	Argentina
146760	Juanfran	Spain
146748	Diego López	Spain
146562	Santi Cazorla	Spain
142754	J. Mascherano	Argentina
139869	W. Sneijder	Netherlands
139068	Nani	Portugal
53302	D. De Rossi	Italy
24630	José Reina	Spain
20775	Quaresma	Portugal
20289	Y. Touré	Ivory Coast
5479	Casillas	Spain
230621	G. Donnarumma	Italy
222492	L. Sané	Germany
219809	T. Bakayoko	France
219683	C. Tolisso	France
217699	I. Slimani	Algeria
216594	N. Fekir	France
216451	J. Seri	Ivory Coast
215785	K. Baldé Diao	Senegal
213331	J. Tah	Germany
212404	F. Bernardeschi	Italy
212188	T. Werner	Germany
211575	André Gomes	Portugal
211300	A. Martial	France
209658	L. Goretzka	Germany
208808	Q. Promes	Netherlands
208618	Lucas Vázquez	Spain
208421	Saúl	Spain
207863	Felipe	Brazil
207664	C. Bacca	Colombia
207471	F. Vázquez	Italy
207410	M. Kovačić	Croatia
206652	Sergio Rico	Spain
206545	Manu Trigueros	Spain
205452	A. Rüdiger	Germany
204970	F. Thauvin	France
204639	S. Savić	Montenegro
204525	Iñigo Martínez	Spain
204277	Roque Mesa	Spain
203551	A. Florenzi	Italy
203483	D. Klaassen	Netherlands
202857	K. Bellarabi	Germany
202652	R. Sterling	England
202651	Suso	Spain
202477	Deulofeu	Spain
202335	E. Dier	England
201862	M. Rojo	Argentina
200949	Lucas	Brazil
200104	H. Son	Korea Republic
199845	F. Acerbi	Italy
199503	G. Xhaka	Switzerland
198164	Jonathan Viera	Spain
197965	Pizzi	Portugal
195093	Willian José	Brazil
